大清三藏圣教,雍正皇帝等制
佛说甘露经陀罗尼,唐于阗国三藏实叉难陀
佛说大陀罗尼末法中一字心咒经,唐天竺三藏法师宝思惟
中阿含经,东晋罽宾三藏瞿昙僧伽提婆
增壹阿含经,符秦三藏昙摩难提
杂阿含经,刘宋天竺三藏求那跋陀罗
佛说长阿含经,姚秦三藏佛陀耶舍共竺佛念
别译杂阿含经,失译师名附秦录
杂阿含经,失译师名附吴魏二录
长阿含十报法经,后汉安息三藏安世高
起世因本经,隋天竺三藏达磨笈多
起世经,隋天竺三藏阇那崛多
佛说楼炭经,西晋三藏法立共法炬
佛般泥洹经,西晋河内沙门白法祖
佛说人本欲生经,后汉安息三藏安世高
佛说梵网六十二见经,吴月支优婆塞支谦
佛说尸迦罗越六方礼经,后汉安息三藏安世高
中本起经,后汉三藏昙果共康孟
佛说七知经,吴月支优婆塞支谦
佛说碱水喻经,失译人名今附西晋录
佛说一切流摄守因经,后汉安息三藏安世高
佛说阎罗王五天使者经,刘宋三藏法师慧简
佛说铁城泥犁经,东晋西域沙门竺昙无兰
佛说古来世时经,失译人名今附东晋录
佛说阿那律八念经,后汉三藏法师支曜
佛说离睡经,西晋三藏法师竺法护
佛说是法非法经,后汉安息三藏安世高
佛说乐想经,西晋三藏法师竺法护
佛说漏分布经,后汉安息三藏安世高
佛说阿耨颰经,西晋沙门释法炬
佛说求欲经,西晋三藏法师竺法护
佛说受岁经,西晋三藏法师竺法护
佛说梵志计水净经,失译人名今附东晋录
佛说伏淫经,西晋沙门释法炬
佛说魔娆乱经,失译人名今附后汉录
佛说弊魔试目连经,吴月支优婆塞支谦
佛说泥犁经,东晋西域沙门竺昙无兰
佛说优婆夷堕舍迦经,失译师名附刘宋录
佛说斋经,吴月支优婆塞支谦
佛说苦阴经,失译人名在后汉录
佛说苦阴因事经,西晋沙门释法炬
佛说释摩男本经,吴月支优婆塞支谦
佛说鞞摩肃经,刘宋天竺三藏求那跋陀罗
佛说婆罗门子命终爱念不离经,后汉安息三藏安世高
佛说十支居士八城人经,后汉安息三藏安世高
佛说邪见经,失译师名附刘宋录
佛说箭喻经,失译人名今附东晋录
佛说普法义经,后汉安息三藏安世高
佛说广义法门经,陈天竺三藏真谛
佛说戒德香经,东晋西域沙门竺昙无兰
佛说四人出现世间经,刘宋天竺三藏求那跋陀罗
佛说诸法本经,吴月支优婆塞支谦
佛说瞿昙弥记果经,刘宋三藏法师慧简
佛说梵志阿颰经,吴月支优婆塞支谦
佛说寂志果经,东晋西域沙门竺昙无兰
佛说赖吒和罗经,吴月支优婆塞支谦
佛说善生子经,西晋沙门支法度
佛说数经,西晋沙门释法炬
佛说梵志頞波罗延问种尊经,东晋西域沙门竺昙无兰
佛说四谛经,后汉安息三藏安世高
佛说恒水经,西晋沙门释法炬
佛说瞻婆比丘经,西晋沙门释法炬
佛说本相倚致经,后汉安息三藏安世高
佛说缘本致经,失译人名今附东晋录
佛说顶生王故事经,西晋沙门释法炬
佛说文陀竭王经,北凉天竺三藏昙无谶
三归五戒慈心厌离功德经,失译人名今附东晋录
佛说须达经,萧齐天竺三藏求那毗地
佛说黄竹园老婆罗门说学经,失译师名附刘宋录
佛说梵摩喻经,吴月支优婆塞支谦
佛说尊上经,西晋三藏法师竺法护
佛说鹦鹉经,刘宋天竺三藏求那跋陀罗
佛说兜调经,失译人名今附西晋录
佛说意经,西晋三藏法师竺法护
佛说应法经,西晋三藏法师竺法护
佛说波斯匿王太后崩尘土坌身经,西晋沙门释法炬
须摩提女经,吴月支优婆塞支谦
佛说三摩竭经,吴沙门竺律炎
佛说婆罗门避死经,后汉安息三藏安世高
施食获五福报经,失译人名今附东晋录
频毗娑罗王诣佛供养经,西晋沙门释法炬
佛说长者子六过出家经,刘宋三藏法师慧简
佛说鸯崛摩经,西晋三藏法师竺法护
佛说鸯崛髻经,西晋三藏法师竺法护
佛说力士移山经,西晋三藏法师竺法护
佛说四未曾有法经,西晋三藏法师竺法护
佛说舍利弗目犍连游四衢经,后汉康孟详
七佛父母姓字经,曹魏失译人名
佛说放牛经,姚秦三藏法师鸠摩罗什
缘起经,唐三藏法师玄奘
佛说十一想思念如来经,刘宋天竺三藏求那跋陀罗
佛说四泥犁经,东晋西域沙门竺昙无兰
舍卫国王梦见十事经,失译人名今附西晋录
佛说国王不黎先尼十梦经,东晋西域沙门竺昙无兰
阿难同学经,后汉安息三藏安世高
五蕴皆空经,唐三藏法师义净
阿难问事佛吉凶经,后汉安息三藏安世高
慢法经,西晋沙门释法炬
阿难分别经,西晋沙门释法炬
五母子经,吴月支优婆塞支谦
沙弥罗经,失译人名
玉耶经,东晋西域沙门竺昙无兰
玉耶女经,失译人名今附西晋录
阿遫达经,刘宋天竺三藏求那跋陀罗
摩邓女经,后汉安息三藏安世高
摩邓女解形中六事经,失译人名今附东晋录
摩登伽经,吴沙门竺律炎共优婆塞支谦
舍头谏经,西晋三藏法师竺法护
治禅病秘要经,北凉世安阳侯沮渠京声
佛说七处三观经,后汉安息三藏安世高
阿那邠邸化七子经,后汉安息三藏安世高
大爱道般涅槃经,西晋沙门白法祖
佛母般泥洹经,刘宋三藏法师释慧简
佛说圣法印经,西晋三藏法师竺法护
五阴譬喻经,后汉安息三藏安世高
佛说水沫所漂经,东晋西域沙门竺昙无兰
佛说不自守意经,吴月支优婆塞支谦
佛说满愿子经,失译人名今附东晋录
转法轮经,后汉安息三藏安世高
佛说三转法轮经,唐三藏法师义净
佛说八正道经,后汉安息三藏安世高
难提释经,西晋沙门释法炬
佛说马有三相经,后汉三藏法师支曜
佛说马有八态譬人经,后汉三藏法师支曜
佛说相应相可经,西晋沙门释法炬
修行本起经,后汉沙门竺大力共康孟祥
太子瑞应本起经,吴月支优婆塞支谦
过去现在因果经,刘宋天竺三藏求那跋陀罗
佛说奈女耆域因缘经,后汉安息三藏安世高
佛说奈女耆婆经,后汉安息三藏安世高
佛说生经,西晋三藏法师竺法护
蓱沙王五愿经,吴月支优婆塞支谦
琉璃王经,西晋三藏法师竺法护
佛说海八德经,姚秦三藏法师鸠摩罗什
佛说法海经,西晋沙门释法炬
佛说义足经,吴月支优婆塞支谦
鬼问目连经,后汉安息三藏安世高
杂藏经,东晋释法显
饿鬼报应经,失译人名今附东晋录
佛说四十二章经,宋迦叶摩腾共竺法兰
正法念处经,元魏三藏瞿昙般若流支
佛本行集经,隋天竺沙门阇那崛多
佛说大安般守意经,后汉安息三藏安世高
佛说骂意经,后汉安息三藏安世高
禅行法想经,后汉安息三藏安世高
佛说处处经,后汉安息三藏安世高
佛说分别善恶所起经,后汉安息三藏安世高
佛说出家缘经,后汉安息三藏安世高
佛说阿含正行经,后汉安息三藏安世高
佛说十八泥犁经,后汉安息三藏安世高
佛说法受尘经,后汉安息三藏安世高
佛说进学经,刘宋居士沮渠京声
佛说得道梯隥锡杖经(附持锡杖法),失译人名今附东晋录
佛说贫穷老公经,刘宋沙门释慧简
须摩提长者经,吴月支优婆塞支谦
长者懊恼三处经,后汉安息三藏安世高
犍陀国王经,后汉安息三藏安世高
阿难四事经,吴月支优婆塞支谦
分别经,西晋三藏法师竺法护
未生怨经,吴月支优婆塞支谦
四愿经,吴月支优婆塞支谦
猘狗经,吴月支优婆塞支谦
八关斋经,刘宋居士沮渠京声
孝子经,失译人名
黑氏梵志经,吴月支优婆塞支谦
阿鸠留经,后汉失译人名
佛为阿支罗迦叶自化作苦经,失译人名
佛说罪业报应教化地狱经,后汉安息三藏安世高
佛说龙王兄弟经,吴月支优婆塞支谦
佛说长者音悦经,吴月支优婆塞支谦
佛说七女经,吴月支优婆塞支谦
佛说八师经,吴月支优婆塞支谦
佛说越难经,西晋清信士聂承远
佛说所欲致患经,西晋三藏法师竺法护
阿阇世王问五逆经,西晋沙门释法炬
本事经,唐三藏法师玄奘
佛说中心经,东晋西域沙门竺昙无兰
佛说见正经,东晋西域沙门竺昙无兰
佛说大鱼事经,东晋西域沙门竺昙无兰
佛说阿难七梦经,东晋西域沙门竺昙无兰
佛说呵雕阿那含经,东晋西域沙门竺昙无兰
佛说灯指因缘经,姚秦三藏法师鸠摩罗什
佛说妇人遇辜经,姚秦三藏法师释圣坚
佛说四天王经,刘宋凉州沙门智严共宝云
佛说摩诃迦业度贫母经,刘宋天竺三藏求那跋陀罗
佛说禅行三十七品经,后汉安息三藏安世高
比丘避女恶名欲自杀经,西晋沙门释法炬
佛说身观经,西晋三藏法师竺法护
佛说无常经(临终方诀附),唐三藏法师义净
佛说八无暇有暇经,唐三藏法师义净
五百弟子自说本起经,西晋三藏法师竺法护
佛说五苦章句经,东晋西域沙门竺昙无兰
佛说坚意经,后汉安息三藏安世高
佛说净饭王般涅槃经,刘宋居士沮渠京声
佛说兴起行经,后汉外国三藏康孟祥
长爪梵志请问经,唐三藏法师义净
佛说譬喻经,唐三藏法师义净
佛说比丘听施经,东晋西域沙门竺昙无兰
佛说略教诫经,唐三藏法师义净
佛说疗痔病经,唐三藏法师义净
佛说业报差别经,隋洋川邵守瞿昙法智
佛说十二品生死经,刘宋天竺三藏求那跋陀罗
佛说轮转五道罪福报应经,刘宋天竺三藏求那跋陀罗
佛说五无返复经,刘宋居士沮渠京声
佛说佛大僧大经,刘宋居士沮渠京声
佛说大迦叶本经,西晋三藏法师竺法护
佛说四自侵经,西晋三藏法师竺法护
佛说罗云忍辱经,西晋沙门释法炬
佛为年少比丘说正事经,西晋沙门释法炬
佛说沙曷比丘功德经,西晋沙门释法炬
佛说时非时经,天竺三藏法师若罗严
佛说自爱经,东晋西域沙门竺昙无兰
佛说贤者五福德经,西晋沙门白法祖
天请问经,唐三藏法师玄奘
佛说护净经,失译人名今附东晋录
佛说木槵经,失译人名今附东晋录
佛说无上处经,失译人名今附东晋录
卢至长者因缘经,失译人名今附东晋录
佛说普达王经,失译人名今附西晋录
佛说鬼子母经,失译人名今附西晋录
佛说梵摩难国王经,失译人名今附西晋录
佛说孙多耶致经,吴月支优婆塞支谦
佛说父母恩难报经,后汉安息三藏安世高
佛说新岁经,东晋西域沙门竺昙无兰
佛说群牛譬经,西晋沙门释法炬
佛说九横经,后汉安息三藏安世高
佛说五恐怖世经,刘宋居士沮渠京声
佛说弟子死复生经,刘宋居士沮渠京声
佛说懈怠耕者经,刘宋居士沮渠京声
佛说辩意长者子所问经,元魏沙门释法场
无垢优婆夷问经,元魏三藏瞿昙般若流支
佛说耶祇经,刘宋居士沮渠京声
佛说末罗王经,刘宋居士沮渠京声
佛说摩达国王经,刘宋居士沮渠京声
佛说旃陀越国王经,刘宋居士沮渠京声
佛说五王经,失译人名今附东晋录
佛说出家功德经,失译师名附三秦录
佛说栴檀树经,失译人名今附汉录
佛说頞多和多耆经,失译人名今附西晋录
禅秘要法经,姚秦三藏法师鸠摩罗什
阴持入经,后汉安息三藏安世高
佛说因缘僧护经,失译人名今附东晋录
佛说大乘庄严宝王经,宋中印度三藏沙门天息灾
分别善恶报应经,宋中印度三藏沙门天息灾
佛说守护大千国土经,宋北印度三藏沙门施护
大方广总持宝光明经,宋中印度三藏沙门法天
佛说大乘圣无量寿决定光明王如来陀罗尼经,宋中印度三藏沙门法天
佛说大乘圣吉祥持世陀罗尼经,宋中印度三藏沙门法天
佛说大乘日子王所问经,宋中印度三藏沙门法天
佛说金耀童子经,宋中印度三藏沙门天息灾
佛顶放无垢光明入普门观察一切如来心陀罗尼经,宋北印度三藏沙门施护
佛说楼阁正法甘露鼓经,宋中印度三藏沙门天息灾
佛说大乘善见变化文殊师利化问法经,宋中印度三藏沙门天息灾
圣虚空藏菩萨陀罗尼经,宋中印度三藏沙门法天
佛说大护明大陀罗尼经,宋中印度三藏沙门法天
佛说无能胜旛王如来庄严陀罗尼经,宋北印度三藏沙门施护
最胜佛顶陀罗尼经,宋中印度三藏沙门法天
圣佛母小字般若波罗蜜多经,宋中印度三藏沙门天息灾
消除一切闪电障难随求如意陀罗尼经,宋北印度三藏沙门施护
圣最上灯明如来陀罗尼经,宋北印度三藏沙门施护
大寒林圣难拏陀罗尼经,宋中印度三藏沙门法天
佛说诸行有为经,宋中印度三藏沙门法天
息除中夭陀罗尼经,宋北印度三藏沙门施护
一切如来正法秘密箧印心陀罗尼经,宋北印度三藏沙门施护
妙法圣念处经,宋中印度三藏沙门法天
佛说大迦叶问大宝积正法经,宋北印度三藏沙门施护
嗟[革蔑]曩法天子受三归依获免恶道经,宋中印度三藏沙门法天
佛说较量寿命经,宋中印度三藏沙门天息灾
佛说沙弥十戒仪则经,宋北印度三藏沙门施护
佛说圣持世陀罗尼经,宋北印度三藏沙门施护
佛说布施经,宋中印度三藏沙门法天
佛说圣曜母陀罗尼经,宋中印度三藏沙门法天
法集名数经,宋北印度三藏沙门施护
圣多罗菩萨一百八名陀罗尼经,宋中印度三藏沙门法天
十二缘生祥瑞经,宋北印度三藏沙门施护
赞扬圣德多罗菩萨一百八名经,宋中印度三藏沙门天息灾
圣观自在菩萨一百八名经,宋中印度三藏沙门天息灾
佛说目连所问经,宋中印度三藏沙门法天
外道问圣大乘法无我义经,宋中印度三藏沙门法天
毗俱胝菩萨一百八名经,宋中印度三藏沙门法天
胜军化世百喻伽他经,宋中印度三藏沙门天息灾
六道伽陀经,宋中印度三藏沙门法天
妙臂菩萨所问经,宋中印度三藏沙门法天
佛说苾刍五法经,宋中印度三藏沙门法天
佛说苾刍迦尸迦十法经,宋中印度三藏沙门法天
诸佛心印陀罗尼经,宋中印度三藏沙门法天
大乘宝月童子问法经,宋北印度三藏沙门施护
佛说莲华眼陀罗尼经,宋北印度三藏沙门施护
佛说观想佛母般若波罗蜜多菩萨经,宋中印度三藏沙门天息灾
佛说如意摩尼陀罗尼经,宋北印度三藏沙门施护
佛说圣大总持王经,宋北印度三藏沙门施护
佛说最上意陀罗尼经,宋北印度三藏沙门施护
佛说持明藏八大总持王经,宋北印度三藏沙门施护
圣无能胜金刚火陀罗尼经,宋中印度三藏沙门法天
佛说尊胜大明王经,宋北印度三藏沙门施护
佛说智光灭一切业障陀罗尼经,宋北印度三藏沙门施护
佛说如意宝总持王经,宋北印度三藏沙门施护
佛说大自在天子因地经,宋北印度三藏沙门施护
佛说宝生陀罗尼经,宋北印度三藏沙门施护
佛说十号经,宋中印度三藏沙门天息灾
佛为娑伽罗龙王所说大乘法经,宋北印度三藏沙门施护
佛说普贤菩萨陀罗尼经,宋中印度三藏沙门法天
大金刚妙高山楼阁陀罗尼,宋北印度三藏沙门施护
广大莲华庄严曼拏罗灭一切罪陀罗尼经,宋北印度三藏沙门施护
佛说大摩里支菩萨经,宋中印度三藏沙门天息灾
佛说末利支提婆华鬘经,唐三藏沙门大广智不空
佛说摩利支天经,唐三藏沙门大广智不空
佛说摩利支天陀罗尼咒经,失译人名开元附梁录
佛说长者施报经,宋中印度三藏沙门法天
佛说毗沙门天王经,宋中印度三藏沙门法天
毗婆尸佛经,宋中印度三藏沙门法天
佛说大三摩惹经,宋中印度三藏沙门法天
佛说月光菩萨经,宋中印度三藏沙门法天
佛说普贤曼拏罗经,宋北印度三藏沙门施护
佛说圣庄严陀罗尼经,宋北印度三藏沙门施护
佛说圣六字大明王陀罗尼经,宋北印度三藏沙门施护
千转大明陀罗尼经,宋北印度三藏沙门施护
佛说华积楼阁陀罗尼经,宋北印度三藏沙门施护
佛说胜旛璎珞陀罗尼经,宋北印度三藏沙门施护
众许摩诃帝经,宋西天译经三藏法贤
佛说七佛经,宋中印度三藏沙门法天
佛说解忧经,宋中印度三藏沙门法天
佛说遍照般若波罗蜜经,宋北印度三藏沙门施护
佛说大乘无量寿庄严经,宋西天译经三藏法贤
佛母宝德藏般若波罗蜜经,宋西天译经三藏法贤
佛说帝释般若波罗蜜多心经,宋北印度三藏沙门施护
佛说诸佛经,宋北印度三藏沙门施护
舍黎娑担摩经,宋北印度三藏沙门施护
佛说大金刚香陀罗尼经,宋北印度三藏沙门施护
最上大乘金刚大教宝王经,宋中印度三藏沙门法天
佛说萨钵多酥哩踰捺野经,宋西天译经三藏法贤
佛说一切如来乌瑟腻沙最胜总持经,宋中印度三藏沙门法天
菩提心观释,宋中印度三藏沙门法天
佛说护国尊者所问大乘经,宋北印度三藏沙门施护
佛说四无所畏经,宋北印度三藏沙门施护
增慧陀罗尼经,宋北印度三藏沙门施护
圣六字增寿大明陀罗尼经,宋北印度三藏沙门施护
佛说大乘戒经,宋北印度三藏沙门施护
佛说圣最胜陀罗尼经,宋北印度三藏沙门施护
佛说五十颂圣般若波罗蜜经,宋北印度三藏沙门施护
大乘八大曼拏罗经,宋西天译经三藏法贤
佛说较量一切佛刹功德经,宋西天译经三藏法贤
啰嚩拏说救疗小儿疾病经,宋西天译经三藏法贤
迦叶仙人说医女人经,宋西天译经三藏法贤
佛说俱枳罗陀罗尼经,宋西天译经三藏法贤
佛说消除一切灾障宝髻陀罗尼经,宋西天译经三藏法贤
佛说妙色陀罗尼经,宋西天译经三藏法贤
佛说栴檀香身陀罗尼经,宋西天译经三藏法贤
佛说钵兰那赊嚩哩大陀罗尼经,宋西天译经三藏法贤
佛说宿命智陀罗尼经,宋西天译经三藏法贤
佛说慈氏菩萨誓愿陀罗尼经,宋西天译经三藏法贤
佛说灭除五逆罪大陀罗尼经,宋西天译经三藏法贤
佛说无量功德陀罗尼经,宋西天译经三藏法贤
佛说十八臂陀罗尼经,宋西天译经三藏法贤
佛说洛叉陀罗尼经,宋西天译经三藏法贤
佛说辟除诸恶陀罗尼经,宋西天译经三藏法贤
佛说大爱陀罗尼经,宋西天译经三藏法贤
佛说阿罗汉具德经,宋西天译经三藏法贤
佛说八大灵塔名号经,宋西天译经三藏法贤
佛说尊那经,宋西天译经三藏法贤
佛说频婆娑罗王经,宋西天译经三藏法贤
佛说人仙经,宋西天译经三藏法贤
佛说旧城喻经,宋西天译经三藏法贤
佛说信解智力经,宋西天译经三藏法贤
大正句王经,宋西天译经三藏法贤
佛说善乐长者经,宋西天译经三藏法贤
佛说圣多罗菩萨经,宋西天译经三藏法贤
佛说大吉祥陀罗尼经,宋西天译经三藏法贤
宝贤陀罗尼经,宋西天译经三藏法贤
佛说秘密八名陀罗尼经,宋西天译经三藏法贤
观自在菩萨母陀罗尼经,宋西天译经三藏法贤
佛说戒香经,宋西天译经三藏法贤
佛说妙吉祥菩萨陀罗尼,宋西天译经三藏法贤
佛说无量寿大智陀罗尼,宋西天译经三藏法贤
佛说宿命陀罗尼,宋西天译经三藏法贤
佛说慈氏菩萨陀罗尼,宋西天译经三藏法贤
佛说虚空藏菩萨陀罗尼,宋西天译经三藏法贤
宝授菩萨菩提行经,宋西天译经三藏法贤
佛说延寿妙门陀罗尼经,宋西天译经三藏法贤
一切如来名号陀罗尼经,宋西天译经三藏法贤
佛说息除贼难陀罗尼经,宋西天译经三藏法贤
佛说法身经,宋西天译经三藏法贤
信佛功德经,宋西天译经三藏法贤
佛说解夏经,宋西天译经三藏法贤
佛说帝释所问经,宋西天译经三藏法贤
佛说未曾有正法经,宋西天译经三藏法贤
佛说大方广善巧方便经,宋西天译经三藏法贤
佛母出生三法藏般若波罗蜜多经,宋北印度三藏沙门施护
佛说决定义经,宋西天译经三藏法贤
佛说护国经,宋西天译经三藏法贤
佛说分别布施经,宋北印度三藏沙门施护
佛说分别缘生经,宋中印度三藏沙门法天
佛说法印经,宋北印度三藏沙门施护
佛说大生义经,宋北印度三藏沙门施护
佛说发菩提心破诸魔经,宋北印度三藏沙门施护
佛说圣佛母般若波罗蜜多经,宋北印度三藏沙门施护
佛说大乘不思议神通境界经,宋北印度三藏沙门施护
佛说给孤长者女得度因缘经,宋北印度三藏沙门施护
佛说大集法门经,宋北印度三藏沙门施护
佛说光明童子因缘经,宋北印度三藏沙门施护
佛说宝带陀罗尼经,宋北印度三藏沙门施护
佛说金身陀罗尼经,宋北印度三藏沙门施护
佛说入无分别法门经,宋北印度三藏沙门施护
佛说净意优婆塞所问经,宋北印度三藏沙门施护
佛说金刚场庄严般若波罗蜜多教中一分,宋北印度三藏沙门施护
佛说息诤因缘经,宋北印度三藏沙门施护
佛说初分说经,宋北印度三藏沙门施护
佛说无畏授所问大乘经,宋北印度三藏沙门施护
佛说月喻经,宋北印度三藏沙门施护
佛说医喻经,宋北印度三藏沙门施护
佛说灌顶王喻经,宋北印度三藏沙门施护
佛说尼拘陀梵志经,宋北印度三藏沙门施护
佛说白衣金幢二婆罗门缘起经,宋北印度三藏沙门施护
佛说福力太子因缘经,宋北印度三藏沙门施护
佛说身毛喜竖经,宋三藏法师惟净等
大乘本生心地观经,唐罽宾三藏般若等
佛说出生无边门陀罗尼经,唐三藏沙门大广智不空
一切如来心秘密全身舍利宝箧印陀罗尼经,唐三藏沙门大广智不空
佛说大吉祥天女十二名号经,唐三藏沙门大广智不空
佛说大吉祥天女十二契一百八名无垢大乘经,唐三藏沙门大广智不空
佛说一切如来金刚寿命陀罗尼经,唐天竺沙门金刚智共智藏
佛说穰麌梨童女经,唐三藏沙门大广智不空
佛说雨宝陀罗尼经,唐三藏沙门大广智不空
慈氏菩萨所说大乘缘生稻[卄/幹]喻经,唐三藏沙门大广智不空
佛说除盖障菩萨所问经,宋三藏法师惟净
仁王护国般若波罗蜜多经,唐三藏沙门大广智不空
秽迹金刚说神通大满陀罗尼法术灵要门经,北天竺三藏沙门无能胜
秽迹金刚法禁百变法门经,北天竺三藏阿质达霰
佛说大乘大方广佛冠经,宋西天三藏法师法护等
佛说八种长养功德经,宋西天三藏法师法护等
大云轮请雨经,唐三藏沙门大广智不空
大乘密严经,唐三藏沙门大广智不空
佛说大集会正法经,宋北印度三藏沙门施护
叶衣观自在菩萨经,唐三藏沙门大广智不空
毗沙门天王经,唐三藏沙门大广智不空
文殊问经字母品,唐三藏沙门大广智不空
海意菩萨所问净印法门经,宋三藏法师惟净共法护
佛说如幻三摩地无量印法门经,宋北印度三藏沙门施护
守护国界主陀罗尼经,唐罽宾三藏般若等
佛说三十五佛名礼忏文,唐三藏沙门大广智不空
观自在菩萨说普贤陀罗尼经,唐三藏沙门大广智不空
佛说八大菩萨曼荼罗经,唐三藏沙门大广智不空
佛说能净一切眼疾病陀罗尼经,唐三藏沙门大广智不空
佛说除一切疾病陀罗尼经,唐三藏沙门大广智不空
佛说救拔焰口饿鬼陀罗尼经,唐三藏沙门大广智不空
瑜伽集要救阿难陀罗尼焰口仪轨经,唐三藏沙门大广智不空
佛说蚁喻经,宋北印度三藏沙门施护
圣观自在菩萨不空王秘密心陀罗尼经,宋北印度三藏沙门施护
佛说胜军王所问经,宋北印度三藏沙门施护
佛说轮王七宝经,宋北印度三藏沙门施护
佛说园生树经,宋北印度三藏沙门施护
佛说了义般若波罗蜜多经,宋北印度三藏沙门施护
佛说大方广未曾有经善巧方便品,宋北印度三藏沙门施护
佛说大坚固婆罗门缘起经,宋北印度三藏沙门施护
佛说巨力长者所问大乘经,宋西天沙门智吉祥等
佛说妙吉祥菩萨所问大乘法螺经,宋西天译经三藏法贤
佛说四品法门经,宋西天译经三藏法贤
佛说八大菩萨经,宋西天译经三藏法贤
佛说施一切无畏陀罗尼经,宋北印度三藏沙门施护
圣八千颂般若波罗蜜多一百八名真实圆义陀陀罗尼经,宋北印度三藏沙门施护
佛说一髻尊陀罗尼经,唐三藏沙门大广智不空
金刚摧碎陀罗尼,宋中天竺三藏法师慈贤
不空罥索毗卢遮那佛大灌顶真言经,唐三藏沙门大广智不空
地藏菩萨本愿经,唐于阗国三藏实叉难陀
大乘理趣六波罗蜜多经,唐罽宾三藏般若
佛说大乘菩萨藏正法经,宋西天三藏法师法护等
佛为优填王说王法政论经,唐三藏沙门大广智不空
佛说五大施经,宋北印度三藏沙门施护
佛说无畏陀罗尼经,宋西天译经三藏法贤
佛说大威德金轮佛顶炽盛光如来消除一切灾难陀罗尼经,唐代失译人名
佛说炽盛光大威德消灾吉祥陀罗尼经,唐三藏沙门大广智不空
佛说顶生王因缘经,宋北印度三藏沙门施护等
佛说大乘随转宣说诸法经,宋三藏沙门绍德等
佛说大乘入诸佛境界智光明庄严经,宋西天三藏法师法护等
佛说大乘智印经,宋西天沙门智吉祥等
佛说法乘义决定经,西天三藏法师金总持等
佛说大白伞盖总持陀罗尼经,元天竺唧[口*捺]铭得哩连得啰磨宁及僧真智等
佛说一切如来真实摄大乘现证三昧大教王经,宋北印度三藏沙门施护
一切如来大秘密王未曾有最上微妙大曼拏罗经,宋中印度三藏沙门天息灾
出生一切如来法眼遍照大力明王经,宋西天三藏法师法护
金刚顶一切如来真实摄大乘现证大教王经,唐三藏沙门大广智不空
阿唎多罗陀罗尼阿噜力经,唐三藏沙门大广智不空
佛说瑜伽大教王经,宋西天译经三藏法贤
一字奇特佛顶经,唐三藏沙门大广智不空
菩提场所说一字顶轮王经,唐三藏沙门大广智不空
菩提场庄严陀罗尼经,唐三藏沙门大广智不空
佛说秘密相经,宋北印度三藏沙门施护等
佛说一切如来金刚三业最上秘密大教王经,宋北印度三藏沙门施护
大宝广博楼阁善住秘密陀罗尼经,唐三藏沙门大广智不空
佛说秘密三昧大教王经,宋北印度三藏沙门施护等
佛说无二平等最上瑜伽大教王经,宋北印度三藏沙门施护等
佛说金刚手菩萨降伏一切部多大教王经,宋中印度三藏沙门法天
圣妙吉祥真实名经,元沙门释智
金刚顶瑜伽理趣般若经,唐天竺沙门金刚智
大乐金刚不空真实三么耶般若波罗蜜多理趣经,唐三藏沙门大广智不空
佛说佛母般若波罗蜜多大明观想仪轨经,宋北印度三藏沙门施护
金刚顶瑜伽念珠经,唐三藏沙门大广智不空
佛说最上根本大乐金刚不空三昧大教王经,宋西天译经三藏法贤
佛说最上秘密那拏天经,宋西天译经三藏法贤
金刚峰楼阁一切瑜伽瑜祇经,唐天竺沙门金刚智
佛说妙吉祥最胜根本大教经,宋西天译经三藏法贤
妙吉祥平等秘密最上观门大教王经,宋中天竺三藏法师慈贤
普遍光明焰鬘清净炽盛如意宝印心无能胜大明王大随求陀罗尼经,唐三藏沙门大广智不空
佛说如来不思议秘密大乘经,宋西天三藏法师法护等
大乘瑜伽金刚性海曼殊室利千臂千钵大教王经,唐三藏沙门大广智不空
佛说圣宝藏神仪轨经,宋中印度三藏沙门法天
佛说宝藏神大明曼拏罗仪轨经,宋中印度三藏沙门法天
金刚恐怖集会方广轨仪观自在菩萨三世最胜心明王经,唐三藏沙门大广智不空
金刚恐怖集会方广轨仪观自在菩萨三世最胜心明王大威力乌枢瑟摩明王经,北天竺三藏阿质达霰
佛说大乘观想曼拏罗净诸恶趣经,宋西天译经三藏法贤
佛说大方广曼殊室利经观自在多罗菩萨仪轨经,唐三藏沙门大广智不空
佛说一切佛摄相应大教王经圣观自在菩萨念诵仪轨经,宋西天译经三藏法贤
瑜伽金刚顶经释字母品,唐三藏沙门大广智不空
佛说一切如来安像三昧仪轨经,宋北印度三藏沙门施护
文殊师利菩萨根本大教王金翅鸟王经,唐三藏沙门大广智不空
十一面观自在菩萨心密言念诵仪轨经,唐三藏沙门大广智不空
大方广菩萨藏文殊师利根本仪轨经,宋中印度三藏沙门天息灾
佛说持明藏瑜伽大教尊那菩萨大明成就仪轨经,宋西天译经三藏法贤
佛说金刚香菩萨大明成就仪轨经,宋北印度三藏沙门施护
金刚萨埵说频那夜迦天成就仪轨经,宋西天译经三藏法贤
佛说大悲空智金刚大教王仪轨经,宋西天三藏法师法护
佛说幻化网大瑜伽教十忿怒明王大明观想仪轨经,宋西天译经三藏法贤
佛说妙吉祥瑜伽大教金刚陪罗缚轮观想成就仪轨经,宋西天译经三藏法贤
底哩三昧耶不动尊威怒王使者念诵法,唐三藏沙门大广智不空
圣迦柅忿怒金刚童子菩萨成就仪轨经,唐三藏沙门大广智不空
七佛赞呗伽陀,宋中印度三藏沙门法天
佛三身赞,宋西天译经三藏法贤
