大清三藏圣教,雍正皇帝等制
集一切福德三昧经,姚秦三藏法师鸠摩罗什
合部金光明经,隋沙门宝贵天竺三藏志德合入
入定不定印经,唐三藏法师义净
不必定入定入印经,元魏三藏瞿昙般若流支
无量义经,萧齐天竺沙门昙摩伽陀耶舍
妙法莲华经,姚秦三藏法师鸠摩罗什
法华三昧经,刘宋凉州沙门释智严
萨昙分陀利经,失译人名今附东晋录
妙法莲华经观世音菩萨普门品,北天竺沙门阇那笈多
正法华经,西晋三藏法师竺法护
添品妙法莲华经,隋天竺阇那笈多共达磨笈多
分别缘起初胜法门经,唐三藏法师玄奘
佛说缘生初胜分法本经,隋天竺三藏达磨笈多
悲华经,北凉天竺三藏昙无谶
六度集经,吴天竺三藏康僧会
大乘顶王经,梁优禅尼国王子月婆首那
大方等顶王经,西晋三藏法师竺法护
维摩诘所说经,姚秦三藏法师鸠摩罗什
维摩诘经,吴月支优婆塞支谦
道神足无极变化经,西晋安息三藏安法钦
说无垢称经,唐三藏法师玄奘
阿惟越致遮经,西晋三藏法师竺法护
佛说宝雨经,唐三藏法师达摩流志等
佛说宝云经,梁三藏曼陀罗仙共僧伽娑罗
佛升忉利天为母说法经,西晋三藏法师竺法护
相续解脱地波罗蜜了义经,刘宋天竺三藏求那跋陀罗
相续解脱如来所作随顺处了义经,刘宋天竺三藏求那跋陀罗
佛说解节经,陈天竺三藏真谛
不退转法轮经,僧佑录云安公凉土异经在公凉
广博严净不退转法轮经,刘宋凉州沙门智严共宝云
方广大庄严经（第01卷～第12卷）,中天竺国沙门地婆诃罗
普曜经,西晋三藏法师竺法护
伅真陀罗所问宝如来三昧经,后汉月支三藏支娄迦识
大树紧那罗王所问经,姚秦三藏法师鸠摩罗什
诸法本无经,隋天竺三藏阇那崛多
诸法无行经,姚秦三藏法师鸠摩罗什
持人菩萨所问经,西晋三藏法师竺法护
持世经,姚秦三藏法师鸠摩罗什
佛说大灌顶神咒经,东晋西域三藏帛尸梨蜜多罗
佛说文殊师利现宝藏经,西晋三藏法师竺法护
大方广宝箧经,刘宋天竺三藏求那跋陀罗
佛说药师如来本愿经,隋天竺三藏达磨笈多
药师琉璃光如来本愿功德经,唐三藏法师玄奘
药师琉璃光七佛本愿功德经,唐三藏法师义净
番字药师七佛本愿功德经,唐三藏法师义净
佛说阿阇世王经,后汉月支三藏支娄迦识
楞伽阿跋多罗宝经,刘宋天竺三藏求那跋陀罗
入楞伽经,元魏天竺三藏法师菩提流志
大乘入楞伽经,唐三藏沙门实叉难陀
菩萨行方便境界神通变化经,刘宋天竺三藏求那跋陀罗
大萨遮尼干子受记经,元魏天竺三藏菩提留支
大乘大悲分陀利经,失译师名附秦录
善思童子经,隋天竺三藏阇那崛多
普超三昧经,西晋三藏法师竺法护
佛说放钵经,失译人名今附西晋录
佛说大净法门品经,西晋三藏法师竺法护
大庄严法门经,隋天竺三藏那连提黎耶舍
佛说大方等大云请雨经,隋天竺沙门阇那崛多
大云请雨经,宇文周三藏阇那耶舍等
大云轮请雨经,隋天竺三藏那连提耶舍
胜思维梵天所问经,元魏天竺三藏菩提留支
思益梵天所问经,姚秦三藏法师鸠摩罗什
月灯三昧经,隋天竺三藏那连提黎耶舍
月灯三昧经,刘宋沙门释先公
佛说象腋经,刘宋罽宾国三藏昙摩蜜多
佛说无所希望经,西晋三藏法师竺法护
佛说大乘同性经,宇文周三藏阇那耶舍共僧安
佛说证契大乘经,唐中天竺沙门地婆诃罗
持心梵天所问经,西晋三藏法师竺法护
佛说观无量寿佛经,刘宋西域三藏畺良耶舍
称赞净土佛摄受经,唐三藏法师玄奘
佛说阿弥陀经,姚秦三藏法师鸠摩罗什
拔一切业障根本得生净土神咒附神力传,刘宋天竺三藏求那跋陀罗
后出阿弥陀偈经,后汉失译师名
大阿弥陀经,吴月支优婆塞支谦
佛说弥勒菩萨上生兜率陀天经,刘宋居士沮渠京声
佛说弥勒下生经,姚秦三藏法师鸠摩罗什
佛说弥勒来时经,失译人名今附东晋录
佛说弥勒下生成佛经,唐三藏法师义净
观弥勒菩萨下生经,西晋三藏法师竺法护
佛说弥勒成佛经,姚秦三藏法师鸠摩罗什
佛说第一义法胜经,元魏三藏瞿昙般若流支等
佛说大威灯光仙人问疑经,隋天竺三藏阇那崛多
一切法高王经,元魏三藏瞿昙般若流支等
佛说诸法勇王经,刘宋罽宾国三藏昙摩蜜多
